日期,新臺幣發行數額-鈔券,新臺幣發行數額-硬幣,黃金準備-重量(公克),黃金準備-價格(新臺幣元/公克),黃金準備-金額(新臺幣元),外匯美金準備-美元,外匯美金準備-匯率(新臺幣元/美元),金額(新臺幣/元)
090/03/31,6.61302E+11,53468145955,410237326,273,1.12075E+11,16709075746,33,5.49227E+11
090/06/30,6.4096E+11,53377362805,410237326,298,1.22283E+11,15054195402,34,5.18677E+11
090/09/30,6.40326E+11,53377362805,410237326,322,1.32257E+11,14713828932,35,5.08069E+11
090/12/31,6.39459E+11,53452933477,410237326,312,1.28146E+11,14606032437,35,5.11313E+11
091/03/31,6.72095E+11,53771014477,410237326,340,1.3944E+11,15212621686,35,5.32655E+11
091/06/30,6.38675E+11,51985746590,410237326,346,1.41769E+11,14804717053,34,4.96906E+11
091/09/30,6.30643E+11,49043938590,410237326,361,1.48253E+11,13801102716,35,4.8239E+11
091/12/31,6.4914E+11,49319975880,410237326,386,1.58395E+11,14109972960,35,4.90745E+11
092/03/31,6.96796E+11,49927284880,410237326,374,1.53511E+11,15634093465,35,5.43285E+11
092/06/30,6.932E+11,50518204829,410237326,386,1.58263E+11,15445006055,35,5.34938E+11
092/09/30,6.93009E+11,51197260974,410237326,416,1.70604E+11,15481895956,34,5.22406E+11
092/12/31,7.32327E+11,52837660730,410237326,455,1.86857E+11,16044178889,34,5.4547E+11
093/03/31,7.74199E+11,53594404730,410237326,450,1.84453E+11,17818172166,33,5.89746E+11
093/06/30,7.67207E+11,52389429637,410237326,428,1.75674E+11,17527417876,34,5.91533E+11
093/09/30,7.79904E+11,51876764637,410237326,452,1.85356E+11,17492860856,34,5.94547E+11
093/12/31,8.03554E+11,53396869680,410237326,451,1.85078E+11,19468508803,32,6.18476E+11
094/03/31,8.64198E+11,54633086680,410237326,437,1.79234E+11,21666486101,32,6.84964E+11
094/06/30,8.4319E+11,55454502611,410237326,444,1.8224E+11,20889033729,32,6.6095E+11
094/09/30,8.46146E+11,56373066611,410237326,506,2.07635E+11,19261271374,33,6.38511E+11
094/12/31,8.65314E+11,57596017864,410237326,543,2.229E+11,19550031528,33,6.42414E+11
095/03/31,9.02176E+11,57881995864,410237326,610,2.50047E+11,20089000707,32,6.52129E+11
095/06/30,8.84488E+11,58031742486,410237326,623,2.55419E+11,19379810822,32,6.29069E+11
095/09/30,8.7449E+11,58356942486,410237326,637,2.61377E+11,18551079329,33,6.13113E+11
095/12/31,9.00561E+11,59230784829,410237326,664,2.72437E+11,19238110024,33,6.28124E+11
096/03/31,9.6543E+11,60501347829,410237326,702,2.87938E+11,20483495682,33,6.77492E+11
096/06/30,9.14817E+11,60698745324,410237326,685,2.81169E+11,19283258650,33,6.33648E+11
096/09/30,8.86366E+11,61217193324,410237326,777,3.1878E+11,17423426594,33,5.67586E+11
096/12/31,8.99621E+11,62094102767,410237326,875,3.58877E+11,16646476820,32,5.40744E+11
097/03/31,9.57579E+11,62785569767,410237326,911,3.73782E+11,19153431209,30,5.83797E+11
097/06/30,9.29707E+11,63072179787,410237326,901,3.69721E+11,18447871991,30,5.59985E+11
097/09/30,9.27209E+11,63544046787,410237326,929,3.81217E+11,16915825602,32,5.45992E+11
097/12/31,9.89326E+11,64964526707,410237326,909,3.72964E+11,18806417876,33,6.16362E+11
098/03/31,1.02195E+12,64320433707,410237326,1002,4.11203E+11,17952997004,34,6.10743E+11
098/06/30,9.99575E+11,64389238473,410237326,991,4.0659E+11,18035934412,33,5.92985E+11
098/09/30,1.00675E+12,64865180473,410237326,1025,4.20638E+11,18179497189,32,5.86107E+11
098/12/31,1.0567E+12,66050679521,410237326,1127,4.62292E+11,18473722976,32,5.94411E+11
099/03/31,1.11464E+12,66671252521,410237326,1124,4.61153E+11,20567303993,32,6.53485E+11
099/06/30,1.09971E+12,67048918979,410237326,1279,5.24851E+11,17847868134,32,5.74862E+11
099/09/30,1.10097E+12,67966706979,410237326,1305,5.35377E+11,18107806960,31,5.65597E+11
099/12/31,1.13504E+12,69783849450,410237326,1315,5.3946E+11,20189159146,30,5.9558E+11
100/03/31,1.21105E+12,70405350450,410237326,1341,5.50076E+11,22421140486,29,6.60975E+11
100/06/30,1.18954E+12,70931698134,410237326,1392,5.71085E+11,21503249494,29,6.18455E+11
100/09/30,1.20545E+12,72082479134,410237326,1590,6.52312E+11,18098771920,31,5.53135E+11
100/12/31,1.24599E+12,74615262549,410237326,1507,6.1812E+11,20715066992,30,6.27874E+11
101/03/31,1.30254E+12,74907667549,410237326,1567,6.4301E+11,22319047386,30,6.59528E+11
101/06/30,1.29233E+12,75638906628,410237326,1497,6.14069E+11,22695833573,30,6.78265E+11
101/09/30,1.30029E+12,76776511628,410237326,1666,6.83269E+11,21037277284,29,6.17023E+11
101/12/31,1.35851E+12,79018263199,410237326,1543,6.33054E+11,24898950912,29,7.25456E+11
102/03/31,1.43065E+12,79840448199,410237326,1518,6.22906E+11,27045592814,30,8.07744E+11
102/06/30,1.41161E+12,80633967816,410237326,1152,4.72761E+11,31173400598,30,9.38849E+11
102/09/30,1.4224E+12,82066080816,410237326,1266,5.19334E+11,30540058891,30,9.0307E+11
102/12/31,1.47107E+12,84918522812,410237326,1145,4.69722E+11,33378390499,30,1.00135E+12
103/03/31,1.54403E+12,85351583812,410237326,1263,5.1813E+11,33663690222,30,1.0259E+12
103/06/30,1.53351E+12,86233046290,410237326,1256,5.15258E+11,34096353059,30,1.01825E+12
103/09/30,1.54328E+12,87720881290,410237326,1187,4.86952E+11,34687274299,30,1.05633E+12
103/12/31,1.61648E+12,90216887506,410237326,1212,4.97208E+11,35419931852,32,1.11927E+12
104/03/31,1.69531E+12,91099845506,410237326,1184,4.85721E+11,38657318685,31,1.20959E+12
104/06/30,1.64881E+12,91521648641,410237326,1160,4.75875E+11,38002068572,31,1.17293E+12
104/09/30,1.66704E+12,92523304641,410237326,1184,4.85721E+11,35906299108,33,1.18132E+12
104/12/31,1.70951E+12,95093403468,410237326,1116,4.57825E+11,38059113939,33,1.25169E+12
105/03/31,1.79002E+12,95770743468,410237326,1265,5.1895E+11,39449767060,32,1.27107E+12
105/06/30,1.7489E+12,96305921508,410237326,1354,5.55461E+11,36983011982,32,1.19344E+12
105/09/30,1.76758E+12,97345677508,410237326,1326,5.43975E+11,39035467517,31,1.22361E+12
105/12/31,1.8381E+12,1.00023E+11,410237326,1194,4.89823E+11,41866722743,32,1.34828E+12
106/3/31,1.91143E+12,1.00123E+11,410237326,1206,4.94746E+11,46652042391,30,1.41668E+12
106/6/30,1.86875E+12,1.00662E+11,410237326,1210,4.96387E+11,45159998239,30,1.37237E+12
106/09/30,1.88476E+12,1.02017E+11,410237326,1237,5.07464E+11,45479252796,30,1.37729E+12
106/12/31,1.93749E+12,1.04697E+11,410237326,1229,5.04182E+11,48023378620,30,1.43331E+12
107/03/31,2.0444E+12,1.05821E+11,410237326,1234,5.06233E+11,52857932325,29,1.53817E+12
107/06/30,2.01637E+12,1.06714E+11,410237326,1218,4.99669E+11,49728038222,31,1.51671E+12
107/09/30,2.03039E+12,1.07924E+11,410237326,1155,4.73824E+11,51023143256,31,1.55656E+12
107/12/31,2.08674E+12,1.10549E+11,410237326,1252,5.13617E+11,51173546687,31,1.57313E+12
108/03/31,2.19127E+12,1.11247E+11,410237326,1269,5.20591E+11,54202261871,31,1.67068E+12
108/06/30,2.17862E+12,1.11798E+11,410237326,1399,5.73922E+11,51681033932,31,1.6047E+12
108/09/30,2.19334E+12,1.13159E+11,410237326,1484,6.08792E+11,51045371461,31,1.58455E+12
108/12/31,2.33122E+12,1.16027E+11,410237326,1458,5.98126E+11,57769942919,30,1.7331E+12
109/03/31,2.35053E+12,1.16032E+11,410237326,1553,6.37099E+11,56677926288,30,1.71343E+12
109/06/30,2.3793E+12,1.16956E+11,410237326,1663,6.82225E+11,57208052970,30,1.69708E+12
109/09/30,2.426E+12,1.18548E+11,410237326,1747,7.16685E+11,58966211708,29,1.70931E+12
109/12/31,2.48343E+12,1.21051E+11,410237326,1690,6.93301E+11,62798227828,29,1.79013E+12
110/03/31,2.62537E+12,1.2197E+11,410237326,1526,6.26022E+11,70130274436,29,1.99934E+12
110/06/30,2.64393E+12,1.2228E+11,410237326,1566,6.42432E+11,71761542966,28,2.0015E+12
110/09/30,2.69084E+12,1.23496E+11,410237326,1541,6.32176E+11,73866666883,28,2.05866E+12
110/12/31,2.82207E+12,1.26338E+11,410237326,1590,6.52277E+11,78365957308,28,2.1698E+12
111/03/31,2.95412E+12,1.26482E+11,410237326,1753,7.19146E+11,78104880721,29,2.23497E+12
111/06/30,2.94847E+12,1.26976E+11,410237326,1725,7.07659E+11,75372165192,30,2.24081E+12
111/09/30,2.99132E+12,1.28198E+11,410237326,1709,7.01096E+11,72087704167,32,2.29023E+12
111/12/31,3.22576E+12,1.3107E+11,410237326,1782,7.31043E+11,81173865336,31,2.49472E+12
112/03/31,3.21957E+12,1.31158E+11,410237326,1924,7.89297E+11,79864284657,30,2.43027E+12
112/06/30,3184498657100.00 ,132086541104.00 ,410237325.88 ,1895.00 ,777399732542.00 ,77366339618.76 ,31.11 ,2407098924558.00 
